product_id,product_name
101010101,稻谷
101010102,小麦
101010103,玉米
101010104,谷子
101010105,高粱
101010106,大麦
101010107,燕麦
101010108,黑麦
101010109,荞麦
101010199,其他谷物
101010201,马铃薯
101010202,木薯
101010203,甘薯
101010299,其他薯类
101010301,花生
101010302,油菜籽
101010303,芝麻
101010399,其他油料
101010401,大豆
101010402,绿豆
101010499,其他杂豆
101010500,棉花
101010600,生麻
101010701,甘蔗
101010702,甜菜
101010799,其他糖料
101010801,未去梗烤烟叶
101010899,其他未加工烟草
101010901,饲料牧草
101010999,其他饲料作物
101011000,水生植物类
101011101,作物茎、秆、根
101011199,其他农作物副产品
101011201,萝卜等根菜类蔬菜
101011202,山药等薯芋类蔬菜
101011203,葱蒜类蔬菜
101011204,白菜类蔬菜
101011205,芥菜类蔬菜
101011206,甘蓝类蔬菜
101011207,芹菜等叶菜类蔬菜
101011208,瓜类蔬菜
101011209,番茄等茄果类蔬菜
101011210,菜豆等豆类蔬菜
101011211,莲藕等水生蔬菜
101011212,竹笋等多年生及杂类蔬菜
101011213,香菇等食用菌
101011214,绿豆芽等芽苗菜
101011215,其他蔬菜
101011301,盆栽花
101011302,鲜切花及花蕾
101011303,切叶
101011304,切枝
101011305,干燥花
101011401,园艺产品
101011499,其他盆景及园艺产品
101011501,水果（园林水果）
101011502,干制水果
101011503,食用坚果
101011601,茶叶
101011602,饮料原料
101011699,其他未列明饮料原料
101011700,香料原料
101011800,中草药材
101011901,种用谷物
101011902,种用薯类
101011903,种用油料
101011904,种用豆类
101011905,种用饲料作物
101011906,蔬菜籽
101011907,花草种
101011908,水果籽
101011999,其他种子、种苗
101020100,育种和育苗
101020201,原木
101020202,小规格木材
101020203,薪材
101020204,短条及细枝等
101020299,其他木材采伐产品
101020301,原竹
101020399,其他竹材采伐产品
101020401,天然橡胶
101020402,天然树脂、树胶
101020403,栲胶原料
101020404,非直接食用果类
101020405,编结用原料
101020406,染色、鞣革用植物原料
101020407,野生植物活体
101020408,野生植物采集产品
101020499,其他林产品
101030101,猪
101030102,牛
101030103,马
101030104,驴
101030105,骡
101030106,羊
101030107,骆驼
101030199,其他活牲畜
101030201,活鸡
101030202,活鸭
101030203,活鹅
101030299,其他活家禽
101030301,生奶
101030302,禽蛋
101030303,天然蜂蜜及副产品
101030304,蚕茧
101030305,动物毛类
101030306,生皮
101030307,生毛皮
101030308,制刷用兽毛
101030309,麝香
101030310,鹿茸
101030311,燕窝
101030399,其他畜禽产品
101030401,野生动物
101030402,野生鸟类
101030499,其他野生动物
101039900,其他饲养动物
101040100,海水鱼
101040200,海水虾
101040300,海水蟹
101040400,海水贝类
101040500,海水藻类
101040600,海水软体水生动物
101040700,海水产品种苗
101049900,其他海水产品
101050100,淡水鱼
101050200,淡水虾
101050300,淡水蟹
101050400,淡水贝类
101050500,淡水藻类
101050600,淡水鲜软体动物
101050700,淡水产品种苗
101059900,其他淡水产品
102010100,原煤
102010200,洗煤
102019900,其他煤炭采选产品（低热值燃料）
102020101,天然原油
102020102,沥青矿原油
102020200,天然气
102020300,液化天然气
102020400,煤层气
102020500,天然气水合物
102020601,沥青页岩
102020602,油母页岩
102020603,焦（重）油砂
102020699,其他油页岩
102030100,铁矿石
102030200,锰矿石
102030300,铬矿石
102040101,铜矿石
102040102,铅锌矿石
102040103,镍矿石
102040104,钴矿石
102040105,锡矿石
102040106,锑矿石
102040107,铝土矿石
102040108,镁矿石
102040109,汞矿石
102040110,铋矿石
102040111,钛矿石
102040112,钠矿石
102040199,其他常用有色金属矿石
102040201,金矿砂及其精矿石
102040202,银矿砂及其精矿石
102040299,其他贵金属矿石
102040301,钨矿石
102040302,钼矿石
102040303,稀土矿产品
102040304,磷钇矿石
102040401,铀矿石
102040402,钍矿石
102049901,锂矿石
102049902,铍矿石
102049903,铯矿石
102049904,钽矿石
102049905,铌矿石
102049906,钛钽铌矿石
102049907,钒矿石
102049908,锆矿石
102049999,其他未列明有色金属矿石
102050101,石灰石
102050102,石膏类
102050201,天然大理石荒料
102050202,天然花岗石荒料
102050203,石英岩
102050204,砂岩
102050205,板岩
102050206,蜡石
102050299,其他建筑用天然石料
102050301,耐火粘土
102050302,耐火粘土熟料
102050303,铁铝矾土
102050304,白云岩
102050305,煅烧白云石
102050306,红柱石
102050307,蓝晶石
102050308,夕线石
102050399,其他耐火土石类
102050401,粘土
102050402,煅烧高岭土
102050403,硅质土
102050404,建筑用砂、土
102050405,其他砂石骨料
102050406,干化污泥
102050407,以自己采掘的砂、土、石料或其他矿物连续生产的砖、瓦、石灰（不含粘土实心砖、瓦）
102050501,硫铁矿石
102050502,磷矿石
102050503,钾矿石
102050504,硼矿石
102050505,硫磺矿石
102050506,萤石
102050507,重晶石
102050508,毒重石
102050509,冰晶石
102050510,冰洲晶石
102050511,硫镁矾矿石
102050512,蛇纹石
102050513,天青石
102050514,天然碱
102050515,芒硝矿石
102050516,天然硝石
102050517,明矾石
102050518,砷矿石
102050599,其他化学矿石
102050601,海盐
102050602,湖盐
102050603,井矿盐
102050699,其他原盐
102050700,石棉
102050800,云母
102050900,天然石墨
102051000,滑石
102051101,天然宝石类矿石
102051102,天然玉石类矿石
102051103,彩石类矿石
102059900,其他非金属矿石
102060000,其他矿产品
103010101,小麦粉
103010102,大米粉
103010199,其他谷物细粉
103010201,碾磨、脱壳谷物
103010202,粗磨谷物
103010203,谷物加工制品
103010301,薯类及类似植物加工品
103010302,干豆粉
103010303,水果、坚果粉
103010399,其他植物加工品
103010401,饲料
103010402,饲料添加剂
103010403,动物源性饲料
103010404,饲料用植物根粉
103010405,饲料用水产品渣粉
103010406,豆粕
103010501,食用植物油及食用植物油脂
103010502,非食用植物油
103010503,植物油分离制品
103010504,植物油脂加工产品
103010601,原糖
103010602,成品糖
103010603,加工糖
103010604,制糖副产品
103010701,鲜、冷、冻肉
103010702,动物肠衣
103010703,可食用动物杂碎
103010704,动物油脂及加工制品
103010705,动物精及汁
103010801,蒸煮香肠制品
103010802,熏肉制品
103010803,酱卤烧烤肉制品
103010804,腌腊肉制品
103010805,干炸肉制品
103010899,其他熟肉制品
103010901,冷冻水产品
103010902,干制水产品
103010903,腌渍水产品
103010904,熏制水产品
103010905,鱼糜（熟肉）制品
103010906,甲壳水产品加工品
103010907,水产品精、汁制品
103010908,水产品油脂制品
103010999,其他水产加工品
103011001,冷冻蔬菜
103011002,暂时保藏蔬菜（原料）
103011003,干制蔬菜（脱水蔬菜）
103011004,腌渍菜
103011101,冷冻水果及坚果
103011102,水果酱
103011103,坚果酱
103011104,果泥
103011105,果膏及类似制品
103011106,果核及核仁
103011107,焙、炒加工坚果及果仁
103011108,蒸煮加工坚果及果仁
103011109,暂时保藏水果及坚果（原料）
103011199,其他水果、坚果加工品
103011201,淀粉
103011202,菊粉
103011203,淀粉制品
103011204,淀粉糖
103011205,面筋
103011206,糊精及改性淀粉
103011299,其他淀粉及淀粉制品
103011301,水豆腐
103011302,豆制品
103011303,豆浆及豆浆粉
103011401,鸡鸭鹅蛋品
103011402,其他蛋品
103011403,再制蛋
103011404,卵清蛋白
103011500,植物蛋白
103011600,微生物蛋白
103019900,其他农副食品
103020101,糕点
103020102,面包
103020103,饼干
103020104,膨化食品
103020105,焙烤松脆食品
103020199,其他焙烤食品
103020201,糖果
103020202,巧克力
103020203,巧克力制品
103020204,代可可脂巧克力
103020205,代可可脂巧克力制品
103020206,蜜饯
103020207,果冻及果冻罐头
103020301,米、面制半成品
103020302,速冻食品
103020303,即食方便食品
103020401,液体乳
103020402,固体及半固体乳制品
103020501,畜肉类罐头
103020502,禽肉类罐头
103020503,水产动物类罐头
103020504,蔬菜类罐头
103020505,水果类罐头
103020506,果酱类罐头
103020507,干果和坚果类罐头
103020508,谷物制品类罐头
103020509,豆类制品罐头
103020510,汤类罐头
103020511,调味类罐头
103020512,混合类罐头
103020513,婴幼儿辅助食品类罐头
103020599,其他罐头
103020601,味精（谷氨酸钠）
103020602,酱油及酱类制品
103020603,醋及醋代用品
103020604,复合调味品
103020701,酵母
103020702,食品用氨基酸
103020703,柠檬酸及其盐和酸酯
103020704,食品用发酵有机酸
103020705,食品用酶制剂
103020801,婴幼儿用均化食品
103020802,营养配餐食品
103020803,蜂蜜营养制品
103020899,其他营养、保健食品
103020901,冰淇淋
103020902,雪糕类
103020903,冰棍
103020904,甜味冰
103020905,雪泥
103020906,食用冰
103020999,其他冷冻饮品
103021001,食用盐
103021002,非食用盐
103021101,木糖
103021199,其他食品添加剂
103021201,食品用原料粉
103021202,饮料用原料
103021203,植物液汁及浸膏
103021204,糯米纸
103021299,其他食品用类似原料
103029900,其他食品
103030101,木质水解酒精
103030199,其他酒精
103030200,白酒
103030301,每吨不超过3000元的啤酒
103030302,每吨3000元（含）以上的啤酒
103030400,黄酒
103030500,葡萄酒
103030600,其他酒
103030701,碳酸型饮料（汽水）
103030702,果汁和蔬菜汁类饮料
103030703,蛋白饮料
103030704,包装饮用水
103030705,茶饮料
103030706,咖啡饮料
103030707,固体饮料
103030799,其他软饮料
103030801,精制茶
103030802,茶制品
103030803,边销茶
103030901,酒及酒精专用原辅料
103030902,饮料专用原辅料
103040101,片烟
103040102,烟梗
103040201,甲类卷烟
103040202,乙类卷烟
103040203,烟草代用品制的卷烟
103040301,烟草制的雪茄烟
103040302,烟草代用品制的雪茄烟
103040400,烟丝
104010101,已梳皮棉
104010102,纱
104010103,线
104010104,缝纫线
104010105,布
104010106,印染布
104010201,毛条
104010202,毛纱
104010203,绒线
104010204,毛机织物（呢绒）
104010205,特种羊毛或动物细毛织物
104010206,毛染整精加工产品
104010301,麻纤维原料
104010302,麻纱线
104010303,亚麻布
104010304,亚麻印染布
104010305,苎麻布
104010306,苎麻印染布
104010307,黄红麻织物
104010308,大麻织物
104010399,其他麻纺织品
104010401,蚕丝
104010402,蚕丝及交织机织物
104010403,印染蚕丝及交织机织物
104010404,化纤长丝机织物
104010405,特种丝织物
104010501,床褥单
104010502,被面
104010503,枕套
104010504,被罩
104010505,床罩
104010506,毯子
104010507,寝具及类似填充用品
104010508,毛巾被
104010509,枕巾
104010599,其他床上用织物制品
104010601,台布（桌布）
104010602,毛巾
104010603,餐桌、盥洗及厨房用织物制品
104010604,窗帘及类似品
104010605,垫子套
104010606,安全用织物制品
104010699,其他纺织制品
104010701,毡呢
104010702,包装用织物制品
104010801,油苫布
104010802,天篷
104010803,遮阳篷
104010804,帐篷
104010805,篷房
104010806,风帆
104010807,充气褥垫
104010808,野营用织物制品
104010809,降落伞、旗帜及类似品
104010901,纤维纺制绳、缆
104010902,网类制品
104010903,吊装绳索具
104010904,绳梯类制品
104010999,其他纤维纺制线、绳、索、缆
104011001,帘子布
104011002,纺织材料制传输带
104011003,用塑料处理纺织物
104011004,涂胶或淀粉纺织物
104011005,涂焦油、蜡、沥青或类似产品纺织物
104011006,硬挺纺织物
104011007,狭幅机织物
104011101,无纺布（无纺织物）
104011102,无纺织物制品
104011201,经编织物
104011202,纬编制物
104011203,针织或钩编起绒织物
104011204,针织钩编织物（针织坯布）
104011301,针织或钩编床罩
104011302,针织或钩编相关床上制品
104011303,针织或钩编台布
104011304,针织或钩编相关餐桌用制品
104011305,针织或钩编窗帘及类似品
104011306,针织袜
104011307,针织手套
104011401,围巾类
104011402,领带
104011403,手帕
104019901,纺织材料絮胎及其制品
104019902,纺织材料制标签、徽章及类似品
104019903,成匹编带、装饰带及类似品
104019904,网眼薄纱，相关网眼织物
104019905,图案花边
104019906,供技术用途纺织品
104019999,其他未列明纺织产品
104020101,女内衣
104020102,男内衣
104020103,女睡衣
104020104,男睡衣
104020105,女浴衣
104020106,男浴衣
104020107,女衬衫
104020108,男衬衫
104020109,女Ｔ恤衫
104020110,男Ｔ恤衫
104020111,女上衣
104020112,男上衣
104020113,女裤子
104020114,男裤子
104020115,裙子
104020116,女大衣、女风衣
104020117,男大衣、男风衣
104020118,便服套装
104020119,西服套装
104020120,女毛衣
104020121,男毛衣
104020122,防寒服
104020123,运动服装
104020124,婴幼儿服装
104020125,特种服装
104020199,其他服装
104020201,天然皮革服装
104020202,非天然皮革服装
104020301,毛皮服装
104020302,毛皮服装附件
104020401,皮革鞋靴
104020402,纺织面鞋
104020403,胶鞋
104020404,塑料鞋
104020405,木制鞋
104020406,舞蹈、戏剧用靴鞋
104020407,靴鞋零件、护腿及类似品
104020499,其他鞋
104020501,帽子
104020502,帽子附件
104030100,半成品革
104030201,成品革
104030202,再生皮革
104030301,衣箱、提箱及类似容器
104030302,手提包（袋）、背包
104030303,皮革作面类似箱、包容器
104030304,塑料作面类似箱、包容器
104030305,纺织材料作面类似箱、包容器
104030399,其他箱、包及类似容器
104030401,皮革手套
104030402,毛皮手套
